epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2239.55,0.37204,0.15968,0.96501,0.96888,0.94826,0.9724,0.9443,0.26161,0.18,0.82653,7.09928e-05,7.09928e-05,7.09928e-05
2,4480.02,0.36765,0.15988,0.96019,0.95912,0.9494,0.9705,0.944,0.25928,0.19535,0.82402,0.000127935,0.000127935,0.000127935
3,6834.45,0.365,0.16127,0.95917,0.95443,0.95156,0.96623,0.94088,0.26025,0.19478,0.82353,0.00017082,0.00017082,0.00017082
4,9145.63,0.36265,0.16003,0.95799,0.95871,0.95124,0.97443,0.94737,0.26282,0.18676,0.82465,0.000149739,0.000149739,0.000149739
5,11438.3,0.35763,0.15577,0.95598,0.95873,0.94381,0.96611,0.94104,0.25853,0.19529,0.82313,0.000128652,0.000128652,0.000128652
6,13671,0.3528,0.15359,0.95162,0.96215,0.94768,0.96799,0.94174,0.25379,0.19001,0.82264,0.000107565,0.000107565,0.000107565
7,15950.8,0.34986,0.15053,0.95192,0.96957,0.95042,0.97428,0.94897,0.25519,0.18256,0.82264,8.6478e-05,8.6478e-05,8.6478e-05
8,18234,0.34635,0.14782,0.94965,0.97171,0.94983,0.97177,0.94598,0.25295,0.1846,0.82207,6.5391e-05,6.5391e-05,6.5391e-05
9,20494.2,0.34178,0.14537,0.94674,0.96481,0.95687,0.97443,0.94866,0.25209,0.18073,0.8218,4.4304e-05,4.4304e-05,4.4304e-05
10,22788.3,0.33983,0.14315,0.94616,0.97017,0.95634,0.97545,0.94974,0.25188,0.17945,0.82246,2.3217e-05,2.3217e-05,2.3217e-05
